ASIN,ASIN_body,commodity_item,brandName,price,comments,star_level,ranking,DATE
B07Q5Y5D71,"FISHOAKY Fishing Rod kit, Carbon Fiber Telescopic Fishing Pole and Reel Combo with Line Lures Tackle Hooks Reel Carrier Bag for Adults Travel Saltwater Freshwater","['B07T5C2C87', 'B07Q5Y5D71', 'B081NJ9Y33', 'B07QBLCHKB']",FISHOAKY,$48.99,111 ratings,4.4 out of 5,"['#9,236 in Sports & Outdoors (', ')']","['1.4 pounds (', ')', 'B07Q5Y5D71', '#9,236 in Sports & Outdoors (', ')']"
B081KPWW5W,"Sougayilang Fishing Rod Case Organizer Pole Storage Bag Fishing Rod and Reel Organizer for Travel, Gift for Father, Boyfriend and Family",null,Sougayilang,$19.99,2 ratings,5 out of 5,"['#73,872 in Sports & Outdoors (', ')']","['1.4 pounds (', ')', 'B081KPWW5W', '#73,872 in Sports & Outdoors (', ')']"
B07KBFK88N,"Clear Creek Portable Fly Fishing Rod & Reel Case 9’ - Complete Storage Protection - Easy to Carry - Durable, Abrasion Resistant Water-Resistant and Works with Fresh + Saltwater Rods",null,Clear Creek,$49.95,20 ratings,4.7 out of 5,"['#119,396 in Sports & Outdoors (', ')']","['B07KMDRF6Z', '#119,396 in Sports & Outdoors (', ')']"
B07DCRQSZT,Toasis Fishing Rod Carrier Bag Fishing Pole Carrying Case for Travel Black Color,null,Toasis,$19.95-$22.96,13 ratings,3.4 out of 5,"['#170,857 in Sports & Outdoors (', ')']","['B07DCSCDK9', '#170,857 in Sports & Outdoors (', ')']"
B00OJX978A,Sougayilang Portable Waterproof Double-Layer Camo Fishing Rod Bag Carrier Storage Case,"['B00OJX978A', 'B07PX1H9T3', 'B07Q28PPS1']",Sougayilang,$19.99,82 ratings,4 out of 5,"['#43,147 in Sports & Outdoors (', ')']","['12.7 x 8.5 x 3.2 inches ; 13.6 ounces', '1.4 pounds (', ')', 'B00OJX978A', '#43,147 in Sports & Outdoors (', ')']"
B01MYRXU57,Clam 10155 4567-0883 Hard Sided Rod Locker,null,Clam Corporation,$128.99,2 ratings,5 out of 5,"['#91,032 in Sports & Outdoors (', ')']","['34.5 x 14 x 3.5 inches ; 10 pounds', '10.1 pounds (', ')', 'B01MYRXU57', '10155', '#91,032 in Sports & Outdoors (', ')']"
B07H434GXM,"Clear Creek Fishing Rod & Gear Bag, Hold up to 6 Fishing Rods, Airline Travel Fishing Case",null,Clear Creek,null,1 rating,5 out of 5,"['#171,615 in Sports & Outdoors (', ')']","['5 x 30.5 x 9.5 inches', '3.2 pounds (', ')', 'B07H434GXM', '#171,615 in Sports & Outdoors (', ')']"
B07KBGSBG7,"Clear Creek Portable Fly Fishing Dual Rod & Reel Complete Protection Storage Carrying Case - Durable Water-Resistant (Four Piece (9.5')) (Internal Length: 33.25"")",null,Clear Creek,$54.95,2 ratings,4 out of 5,"['#131,461 in Sports & Outdoors (', ')']","['33 x 2 x 8 inches', '2.7 pounds (', ')', 'B07KBGSBG7', '#131,461 in Sports & Outdoors (', ')']"
B00IRY4O8K,BW Sports Dual Spinning Rod and Reel Case for (9 ft.) 2-Piece Spinning Rods or Baitcasting Rods - RC 2090,null,BW Sports,null,14 ratings,4.8 out of 5,"['#104,312 in Sports & Outdoors (', ')']","['6.1 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item is not eligible for international shipping.', 'B00IRY4O8K', 'RC-2090', '#104,312 in Sports & Outdoors (', ')']"
B019F9QK5U,JSHANMEI Fishing Bag Fishing Rod Reel Case Carrier Holder Fishing Pole Storage Bags Fishing Gear Organizer Travel Carry Case Bag,null,JSHANMEI,$22.89,13 ratings,3.7 out of 5,"['#36,921 in Sports & Outdoors (', ')']","['8 ounces (', ')', 'B019F9QK5U', '#36,921 in Sports & Outdoors (', ')']"
B01KQ5LZKM,Docooler Folding Fishing Rod Bag Portable Fishing Pole Tools Storage Case Canvas Fishing Gear Tackle,"['B01KQ5LZKM', 'B01KQ5MJAC', 'B01KQ5MHN6', 'B01KQ5MXGM', 'B01KQ5MGLY']",Docooler,null,41 ratings,4 out of 5,"['#168,770 in Sports & Outdoors (', ')']","['1.61 pounds', '1.6 pounds (', ')', 'B01KQ5LZKM', 'unknown', '#168,770 in Sports & Outdoors (', ')']"
B07TWKY19F,"RUNCL Fishing Rod Sleeves & Reel Bags, Spinning/Casting Rod Socks & Spinning/Baitcasting Reel Covers - Protection Solution, Space Saver, Perfect Storage - Fishing Pole Sleeves & Reel Pouch (2 Pack)","['B07TYKXPT6', 'B07TYJ26XV', 'B07TXNYP75', 'B07TWKXKCC', 'B07TSC19LD', 'B07TWKY7RC', 'B07TWKY19F', 'B07TSC1T65', 'B07TYK59RX', 'B07TSC1799', 'B07TTGJFTY', 'B07TWKYM6D', 'B07TYL2KPC', 'B07TTGJK1K', 'B07TYHZ28T', 'B07TYL5W6M', 'B07TYKWXMQ', 'B07TYHRDRK']",RUNCL,$11.99,68 ratings,4.9 out of 5,"['#26,489 in Sports & Outdoors (', ')']","['3.8 ounces (', ')', 'B07TWKY19F', '#26,489 in Sports & Outdoors (', ')']"
